companyCode,companyName,total_facilities,cum_pct
NTPCLTD,NTPC Limited,151000.0,3.989202533817809
SIDBILT,Small Industries Development Bank of India,140000.0,7.687800909542932
INDOIL,Indian Oil Corporation Limited,130800.0,11.143348534863259
LICHOUS,LIC Housing Finance Limited,130085.88,14.580030138240211
BHAPETR,Bharat Petroleum Corporation Limited,105000.0,17.353978920034052
RELIANC,Reliance Industries Limited,100000.0,19.995834902694853
NABARDE,National Bank For Agriculture and Rural Development,90000.0,22.373505287089575
SHRTRAN,Shriram Finance Limited,75743.00000000001,24.374526264036344
POGRCOL,Power Grid Corporation of India Limited,69469.95999999999,26.20982255844841
HDBFSLTD,HDB Financial Services Limited,62500.00000000001,27.860982547611414
HPRARL,HPCL Rajasthan Refinery Limited,62500.0,29.512142536774412
SBICSPL,SBI Cards and Payment Services Limited,62000.0,31.150093246024106
SESGOA,Vedanta Limited,57342.0,32.66498630360147
RRL,Reliance Retail Limited,55000.0,34.11800709406491
TCHFL,Tata Capital Housing Finance Limited,55000.0,35.57102788452834
HINPETR,Hindustan Petroleum Corporation Limited,50000.0,36.89195587585875
ADPOPL,Adani Power Limited,46000.0,38.10720962788272
AIRINAR,Air India Limited,39000.0,39.13753346112043
ESSGUJA,Arcelormittal Nippon Steel India Private Limited,38000.0,40.14143873453153
SIPVTLTD,Jiostar India Private Limited,33000.0,41.0132512088096
NUMREFNLD,Numaligarh Refinery Limited,32800.0,41.87977997112234
BAJAUTF,Bajaj Finance Limited,31000.0,42.69875532574719
RJIPLR,Summit Digitel Infrastructure Limited,30008.0,43.49152346902404
EXPIMPB,Export Import Bank of India,30000.0,44.28408026382228
INFAFEC,Indian Farmers Fertiliser Cooperative Limited,28000.0,45.02379993896731
KALPOWE,Kalpataru Projects International Limited,26329.0,45.71937420064207
MUFILT,Muthoot Fincorp Limited,25999.999999999996,46.40625675613388
GDS22092,The Haryana State Cooperative Supply and Marketing Federation Limited,25050.0,47.068041679790404
CFSL,Credila Financial Services Limited,25000.0,47.72850567545561
IDHFL,Sammaan Capital Limited,24549.98,48.377080790827634
DEWHOUS,Piramal Finance Limited,24000.0,49.01112622666623
TECCOMP,The Tata Power Company Limited,23918.160000000003,49.643009567568605
BHRTELELD,Bharti Airtel Limited,20000.0,50.17138076410077
TPREL,Tata Power Renewable Energy Limited,19224.289999999997,50.67925881958983
BAHOFL,Bajaj Housing Finance Limited,16000.0,51.101955776815565
MAGLEAS,Poonawalla Fincorp Limited,15285.000000000002,51.50576346376526
LTPGCL,Lalitpur Power Generation Company Limited,15115.0,51.90507999554445
HLYFI,Hinduja Leyland Finance Limited,15000.0,52.30135839294356
OIINLTJ,Oil India Limited,14000.0,52.67121823051608
GDS552,Air India Express Limited,14000.0,53.04107806808859
ADGREL,Adani Green Energy Limited,13530.0,53.39852118254259
NMIAPL,Navi Mumbai International Airport Private Limited,13326.67,53.750592611227056
IDIFHF,IIFL Home Finance Limited ,13300.000000000004,54.101959456920945
HINZINC,Hindustan Zinc Limited,12270.0,54.42611518599343
MANLEAF,Manappuram Finance Limited,12000.0,54.74313790391272
LTFNCH,L&T Finance Limited,11500.0,55.046951341918714
TMCOVL,Tata Motors Limited,11100.0,55.34019735599406
PTCIFSL,PTC India Financial Services Limited,11000.0,55.63080151408675
HIINRU,Vertis Infrastructure Trust,10950.0,55.9200847441881
NEYLIGN,NLC India Limited,10334.7,56.193112634428154
MSEZL,Adani Ports and Special Economic Zone Limited,10020.0,56.45782660389077
NHOBANK,National Housing Bank,10000.0,56.72201220215685
NATSTCLCL,NSE Clearing Limited,10000.0,56.986197800422936
KOTMAHP,Kotak Mahindra Prime Limited,10000.0,57.25038339868901
MUMILI,Muthoot Microfin Limited,10000.0,57.5145689969551
MAUDYOG,Maruti Suzuki India Limited,10000.0,57.77875459522117
GDS9904,Kerala Infrastructure Investment Fund Board,10000.0,58.04294019348725
GDS16712,Polycab India Limited,9721.0,58.29975501356171
CORFERT,Coromandel International Limited,9500.000000000002,58.550731331914484
KSFIDP,Kisetsu Saison Finance India Private Limited,9350.0,58.797744866293264
GICHOUS,GIC Housing Finance Limited,9100.0,59.0381537607154
TADSTL,Tata Advanced Systems Limited,9100.0,59.278562655137534
AVMFPL,Asirvad Microfinance Limited,9000.000000000002,59.516329693577006
GDS8390,InterGlobe Aviation Limited,9000.0,59.75409673201648
REREFL,Jio Credit Limited,9000.0,59.99186377045594
KRISBHA,Krishna Bhagya Jala Nigam Limited,8520.0,60.21694990017865
ABB,ABB India Limited,8500.0,60.44150765870482
GOHOFL,Godrej Housing Finance Limited,8200.0,60.658139849282996
KKRIFSL,Incred Financial Services Limited,8100.0,60.872130183878525
TMLPCIL,SEIL Energy India Limited,8100.0,61.086120518474054
GOFILG,Godrej Finance Limited,8100.0,61.300110853069576
FSMFP,Fusion Finance Limited,8000.0,61.51145933168244
SUNDFIN,Sundaram Finance Limited,8000.0,61.72280781029531
CPCLTD,Chennai Petroleum Corporation Limited,7984.9,61.93375736865478
BLTIF,Belstar Microfinance Limited,7500.0,62.13189656735435
TADKFLT,Tata Teleservices Limited,7000.0,62.3168264861406
IIHOLI,IIFL Finance Limited,7000.0,62.50175640492686
INAGPL,IndianOil Adani Gas Private Limited,6944.3,62.68521480993077
SMTLTD,Mahadhan Agritech Limited,6800.0,62.8648610167517
PRGPGCL,Prayagraj Power Generation Company Limited,6750.0,63.04318629558131
TOGAPL,Torrent Gas Limited,6700.0,63.22019064641958
TRLILI,Transrail Lighting Limited,6470.000000000001,63.39111872849773
NBAPLT,Nabha Power Limited,6425.0,63.56085797538369
SVXCMPS,Savex Technologies Private Limited,6400.0,63.729936758273986
RKMPG,R.K.M Powergen Private Limited,6392.009999999999,63.89880445687125
IRINTR,IRB Infrastructure Trust,6390.0,64.06761905416329
GDS1853,Dalmia Cement (Bharat) Limited,6348.000000000001,64.23532407194259
GDS1564,Ashoka Buildcon Limited,6306.0,64.40191951020917
WGSR,Welspun Corp Limited,6229.0,64.56648071936911
ADTRLI,Adani Energy Solutions Limited,6000.0,64.72499207832877
HINLEVE,Hindustan Unilever Limited,6000.0,64.88350343728841
GDS10853,Lodha Developers Limited,5900.0,65.03937294026541
DBPWR,DB Power Limited,5825.0,65.19326105125539
JSWCM,JSW Cement Limited,5800.0,65.34648869824971
STROPTECL,Sterlite Technologies Limited,5767.0,65.49884453276977
IRGEPL,IRB Golconda Expressway Private Limited,5623.0,65.64739609467478
TOINTR,Altius Telecom Infrastructure Trust,5600.0,65.79534002970378
THERMAX,Thermax Limited,5500.0,65.94064210875014
TPSOLI,TP Solar Limited,5500.0,66.08594418779647
SVMOPL,Svatantra Microfin Private Limited,5500.0,66.23124626684283
MAHSPIN,Vardhman Textiles Limited,5416.23,66.3743352631325
UTCL,UltraTech Cement Limited,5400.0,66.51699548619618
SHSL,Shyam Sel and Power Limited,5353.0,66.65841403694802
CTNIFC,Chaitanya India Fin Credit Private Limited,5200.000000000001,66.79579054804637
HUGISCO,Tata Teleservices (Maharashtra) Limited,5166.0,66.93226882811062
MBPMPL,MB Power (Madhya Pradesh) Limited,5145.7300000000005,67.0682116039672
ECLFL,ECL Finance Limited,5145.0,67.2041350942751
INGRTR,Indigrid Infrastructure Trust,5120.0,67.33939812058732
ARFILI,ARKA Fincap Limited,5000.0,67.47149091972037
GUJAMCE,Ambuja Cements Limited,5000.0,67.60358371885341
GDS6229,Genus Power Infrastructures Limited,4927.0,67.7337479631191
NUPOCOR,Nuclear Power Corporation of India Limited,4869.0,67.86237993091487
GINWE,Sembcorp Green Infra Private Limited,4811.0,67.98947962224067
CAHEALT,Zydus Lifesciences Limited,4724.0,68.11428089886157
ADNGS,Adani Total Gas Limited,4650.0,68.23712720205529
TELCO,Tata Motors Passenger Vehicles Limited,4600.0,68.3586525772577
BENCOLE,Bennett Coleman and Company Limited,4600.0,68.48017795246008
GDS22573,Uflex Limited,4599.999999999999,68.60170332766249
ORIINF,Oriental Infratrust,4548.3,68.72186286332183
NMSTLI,NMDC Steel Limited,4500.0,68.84074638254157
SHRCEME,Shree Cement Limited,4500.0,68.9596299017613
ABL,Angel One Limited,4500.0,69.07851342098105
LAFARGE,Nuvoco Vistas Corporation Limited,4400.0,69.19475508421812
GDS20271,Skipper Limited,4301.000000000001,69.30838131003236
JKCORLT,JK Lakshmi Cement Limited,4260.4800000000005,69.42093705580244
TECSL,Tecpro Systems Limited,4250.0,69.53321593506551
NIRMA,Nirma Limited,4250.0,69.6454948143286
GWRCS,Gawar Construction Limited,4125.0,69.75447137361336
ACVUPL,ACME Venus Urja Private Limited,4072.0,69.8620477492273
SIINSL,Sify Infinit Spaces Limited,4053.78,69.9691427786812
SLGBPL,SLMG Beverages Private Limited,4052.0,70.07619078309862
APOTYLT,Apollo Tyres Limited,4000.4,70.18187558982898
CRIDSP,Navi Finserv Limited,4000.000000000001,70.28754982913541
GRFSPL,CreditAccess Grameen Limited,4000.0,70.39322406844185
ABHINDLTD,Trident Limited,4000.0,70.49889830774828
CRAPL,Craftsman Automation Limited,3950.0,70.60325161906337
GDS8795,Jakson Limited,3860.0,70.70522725999409
AACIPR,Tyger Capital Private Limited,3799.9999999999995,70.8056177873352
HYUMOTO,Hyundai Motor India Limited,3700.0,70.90336645869365
GDS4728,DLF Cyber City Developers Limited,3700.0,71.0011151300521
PFIPAL,Payu Finance India Private Limited,3700.0,71.09886380141054
SINHOTPL,Panipat Jalandhar NH-1 Tollway Private Limited,3646.0,71.19518587053835
SDRIPL,Shyam Metalics and Energy Limited,3600.0,71.29029268591415
MCCPTAICPL,MCPI Private Limited,3590.0,71.38513531569167
MSFL,Marwadi Shares and Finance Limited,3575.0,71.47958166707178
NXTTRU,Nxt-Infra Trust,3550.0,71.57336755445625
AMRJIPL,Amara Raja Infra Private Limited,3501.49,71.66587187750353
SRMHFL,Truhome Finance Limited,3500.0,71.75833683689665
SRIFPL,Serentica Renewables India 4 Private Limited,3500.0,71.85080179628979
BDCMPULTD,Banaskantha District Co-Operative Milk Producers Union Limited,3469.0,71.9424477803283
CENTEXT,Aditya Birla Real Estate Limited,3419.0,72.03277283637546
IAURSL,IAV Urja Services Limited,3357.0,72.12145994171338
JKPLTD,JK Paper Limited,3280.5,72.20812602722458
AEPIPLTD,Amber Enterprises India Limited,3252.0,72.2940391837807
TPCODL,TP Central Odisha Distribution Limited,3212.0,72.37889559794375
BDVENL,Belrise Industries Limited,3211.0,72.463725593547
SRDS,Parry Sugars Refinery India Private Limited,3200.0,72.54826498499214
DLFULTD,DLF Limited,3183.0,72.63235526092025
DBMRSPL,Devbhumi Realtors Private Limited,3106.0,72.71441130774168
TAMPVL,Tata Motors Passenger Vehicles Limited - (Amalgamated),3100.0,72.79630884320417
