crisilName,dummyCIN
Blue Wheel National Health Care and Educational Trust,D00000NA2026DUM000116
Meenakshi Jewellers,D00000NA2026DUM000117
Aghara Spintex LLP,D00000NA2026DUM000118
Karnavati Medical and Educational Trust,D00000NA2026DUM000119
Subhash Kumar Agrawal - Raigarh,D00000NA2026DUM000120
Shimayra Jewellery,D00000NA2026DUM000121
Sanjay Shiksha Samiti,D00000NA2026DUM000122
Atithi Paper LLP,D00000NA2026DUM000123
Geet Reality,D00000NA2026DUM000124
Globe Distribution LLP,D00000NA2026DUM000125
Royal Diam,D00000NA2026DUM000126
Kumbhi Kasari Sahakari Sakhar Karkhana Limited,D00000NA2026DUM000127
Vetican Granito Llp,D00000NA2026DUM000128
Advance Pesticides,D00000NA2026DUM000129
Vasupujya Filaments,D00000NA2026DUM000130
Sethu Educational Trust,D00000NA2026DUM000131
Fuletra Steel Llp,D00000NA2026DUM000132
Pillai and Sons Motor Company,D00000NA2026DUM000133
Letoza Granito LLP,D00000NA2026DUM000134
Punjab Stainless Steel Industries,D00000NA2026DUM000135
Rocky Dhar,D00000NA2026DUM000136
P. R. Patel and Co.,D00000NA2026DUM000137
GNPAL Speciality Molecules LLP,D00000NA2026DUM000138
Rajyalakshmi Marine Exports,D00000NA2026DUM000139
N. S. Nayak and Sons,D00000NA2026DUM000140
D Decor Home Store LLP,D00000NA2026DUM000141
Dhorajia Projects LLP,D00000NA2026DUM000142
SRG Minerals and Metals(Vizag),D00000NA2026DUM000143
Adinath Jewellery Exports,D00000NA2026DUM000144
Challani Jewellery Mart,D00000NA2026DUM000145
Srii Karunambigai Tex,D00000NA2026DUM000146
Sanghar Exports,D00000NA2026DUM000147
Lemzon Granito LLP,D00000NA2026DUM000148
Kataria Movers,D00000NA2026DUM000149
Shri Gangajali Education Society,D00000NA2026DUM000150
Sree Karpagamoorthy Motors LLP,D00000NA2026DUM000151
Orange Megastructure LLP,D00000NA2026DUM000152
Jyothi Quartz Surfaces,D00000NA2026DUM000153
Amar Udyog - Faridabad,D00000NA2026DUM000154
Vasanthi Foundry,D00000NA2026DUM000155
Jehlum construction Co,D00000NA2026DUM000156
Narmada Solvent Extraction Llp,D00000NA2026DUM000157
Urmila Devi Jagannath Gupta Charitable Trust,D00000NA2026DUM000158
Ashwini Traders,D00000NA2026DUM000159
