companyCode,news_stress,entity_stress_fundamental
ARRSPP,0.3925,60.0
ARSSB,0.4742,12.89
ARTPL,0.3421,39.72
ARTR,0.4842,16.88
ASAINDI,0.3025,13.46
ASAIPL,0.4985,60.0
ASALCHB,0.556,10.0
ASAURI,0.1701,10.1
ASCSPL,0.6289,60.0
ASEJSP,0.4242,12.35
ASHFCL,0.3192,2.21
ASHIPL,0.4689,10.08
ASHTML,0.2429,13.47
ASHTS,0.4475,8.7
ASLEL,0.4716,23.36
ASML,0.4511,60.0
ASNCTC,0.482,17.23
ASNPGL,0.5559,12.18
ASRCPL,0.2848,12.1
ASSCEL,0.4337,10.47
ASSPSPL,0.4313,12.97
ASTCL,0.4672,12.78
ASTELL,0.1446,23.47
ASTMICPL,0.5091,11.21
ATCVL,0.4106,23.7
ATDPL,0.4011,24.96
ATIL,0.3911,15.08
ATINLIL,0.3993,11.95
ATKOSL,0.3144,60.0
ATLCOPC,0.3651,10.24
ATPALL,0.435,30.27
ATSAPLTD,0.2612,12.04
ATSENL,0.6514,10.56
ATSEOP,0.0589,8.04
ATUAUTO,0.3587,11.87
AUFIPL,0.3932,11.65
AUPSIL,0.2679,13.22
AUTIPL,0.4748,60.0
AUTMPL,0.3725,17.59
AVAFPL,0.406,13.49
AVANPL,0.4101,13.62
AVDPL,0.3927,13.45
AVFIPL,0.4412,19.53
AVFLTD,0.0411,11.76
AVFPEL,0.5053,14.94
AVGJPL76,0.3525,10.94
AVGPAL,0.4599,12.62
AVHCMPL,0.3481,11.14
AVHEGR,0.1867,24.57
AVINIL,0.628,42.79
AVMFPL,0.3884,12.97
AVNSPL,0.4292,9.13
AVPLED,0.4862,38.05
AVSOLI,0.3368,8.63
AVTWSL,0.2097,12.1
AWALIM,0.483,11.74
AWWMPL,0.3432,12.53
AXALTD,0.4862,32.78
AYAGL,0.4699,60.0
AYCAEL,0.2372,16.75
AYCXPLTD,0.4242,86.47
AZPFPL,0.6037,11.34
AZPIPL,0.4778,13.65
BAACFL,0.3891,12.3
BADAPL,0.4935,13.37
BAENRM,0.4698,12.37
BAFLST,0.2892,10.12
