companyCode,news_stress,entity_stress_fundamental
GDS3591,0.3474,60.0
GDS3609,0.3334,9.94
GDS3870,0.3946,10.14
GDS3874,0.7975,60.0
GDS3930,0.4827,25.25
GDS4012,0.4906,11.22
GDS4112,0.492,12.56
GDS4128,0.4852,38.15
GDS4141,0.3367,6.94
GDS4345,0.4498,16.52
GDS4382,0.5709,87.22
GDS4552,0.3691,20.94
GDS4651,0.3423,10.57
GDS4687,0.4024,10.81
GDS4728,0.2933,12.53
GDS4982,0.428,60.0
GDS5034,0.4085,10.57
GDS5125,0.4509,10.04
GDS5186,0.3988,19.9
GDS5225,0.3441,10.19
GDS5237,0.4053,13.01
GDS5252,0.4743,29.59
GDS5305,0.508,18.58
GDS5315,0.4851,11.28
GDS5317,0.2066,16.18
GDS5423,0.3657,16.6
GDS5437,0.5078,8.15
GDS544,0.3265,66.62
GDS5464,0.4213,60.0
GDS552,0.531,14.46
GDS6015,0.4784,13.61
GDS6217,0.3424,9.41
GDS6229,0.3828,12.48
GDS6281,0.4505,85.53
GDS6334,0.0829,9.46
GDS6353,0.3712,10.49
GDS6388,0.3942,60.0
GDS6450,0.4924,87.02
GDS6580,0.3311,11.62
GDS6603,0.4322,86.99
GDS6729,0.3738,11.03
GDS6801,0.506,11.88
GDS6902,0.2916,60.0
GDS6992,0.4441,9.12
GDS7017,0.4034,46.05
GDS704,0.3338,8.99
GDS7219,0.5295,11.27
GDS7285,0.0827,9.98
GDS7432,0.4467,10.25
GDS7745,0.4042,12.42
GDS7840,0.4678,45.48
GDS7955,0.5208,18.54
GDS7986,0.5188,12.56
GDS8003,0.5837,13.09
GDS805,0.4461,10.98
GDS8216,0.3873,11.56
GDS831,0.4125,12.92
GDS8390,0.4881,19.21
GDS8421,0.421,7.51
GDS8516,0.3294,11.04
GDS8536,0.4244,11.98
GDS8704,0.3914,15.14
GDS8794,0.3284,11.04
GDS8795,0.3795,12.24
GDS885,0.3611,10.21
GDS8925,0.3674,17.2
GDS9012,0.4242,10.85
GDS9097,0.2833,12.18
GDS9113,0.427,10.78
GDS9320,0.3483,10.48
GDS9436,0.4617,11.64
GDS945,0.3652,16.51
GDS9527,0.4481,10.55
GDS987,0.1049,22.52
GDS9904,0.4378,60.0
GEAPPI,0.3709,10.08
GEAPSL,0.4223,9.96
GEAPVI,0.3713,11.06
GEBIPL,0.3669,66.03
GEEREA,0.4353,16.7
GEKEPL,0.4766,8.94
GEMINDL,0.0509,11.41
GERVNR,0.4119,12.08
GFAMSP,0.3526,14.38
GFDP,0.3007,12.29
GGEPAIPL,0.3859,17.87
GGL,0.3798,11.08
GHACHEM,0.4035,13.97
GHIAL,0.3576,12.34
GHIEPL,0.458,43.07
GHPAPL,0.4629,9.51
GHRAMI,0.4882,60.0
GHSOLI,0.35,16.83
GIAMAP,0.4193,14.68
GICHOUS,0.4443,10.81
GICSEL,0.3298,7.84
GICWTL,0.406,10.91
GINDPL,0.3809,9.71
GINWE,0.3454,10.75
GIRPJL,0.3454,9.63
GISOPL,0.3437,7.58
GIUL,0.0601,13.31
GIWEGL,0.3924,7.21
GIWFAL,0.4417,7.75
GIWPGL,0.3415,7.86
GJNSXLD,0.5071,85.53
GKCPL,0.3961,15.88
GKNCIPL,0.4162,29.41
GKNSCNL,0.4174,17.71
GLCY,0.4706,24.35
GLDILL,0.4284,20.83
GLEPHAR,0.389,10.91
GLMOPL,0.3766,17.04
GLPEPL,0.4474,10.22
GLVEPL,0.4598,12.17
GLXSLTD,0.4077,10.21
GMEO,0.3371,12.37
GMEPL,0.3933,11.65
GMHYAL,0.4157,8.19
GMPTSPL,0.3574,12.74
GMSEBL,0.0389,12.67
GNIPPL,0.0631,13.08
GNRCPL,0.2741,17.29
GNSPML,0.0383,32.74
GNTID,0.4422,14.56
GOAGIL,0.4953,11.85
GOFILG,0.2188,10.92
GOFILL,0.3905,12.31
GOHOFL,0.3102,10.59
GOKOVE,0.4876,11.08
GOKPET,0.0563,13.26
GOMPRI,0.46,10.36
GOONERO,0.4742,10.58
GOSTL,0.3033,10.8
GOVRUBB,0.4681,87.27
GPACWP,0.0407,14.32
GPLSK,0.4266,9.83
GPMHPL,0.5071,9.52
GPRSSLD,0.5075,45.56
GPTENT,0.039,13.19
GPTH,0.4278,10.57
GRBDFP,0.3166,10.56
GRCAMC,0.4923,11.78
GRDILI,0.3145,9.81
GRDIPI,0.0402,18.1
GRDURJ,0.4809,40.94
GRFEPL,0.4746,16.0
GRFSPL,0.4506,11.59
GRGINF,0.5123,16.65
GRGN,0.3862,9.26
GRIPROL,0.3868,13.11
GRIWSL,0.3706,8.3
GRNUPL,0.3386,26.77
GRUAS,0.3417,27.48
GSERPL,0.3385,11.44
GSMGSBY,0.5933,25.16
GSNKR,0.4745,35.87
GTCLPL,0.1023,20.6
GTIPLD,0.4533,13.22
GTMTC,0.4557,13.15
GUFTPL,0.4457,10.68
GUGREL,0.4035,87.22
GUILTD,0.5141,12.79
GUISU,0.4764,86.55
GUJAMCE,0.4653,14.92
GUJGARLTD,0.4095,12.26
GUJPPL,0.4096,19.1
GUPAML,0.5076,31.59
GURJ,0.4819,40.67
GUTELI,0.0767,23.47
GUTIPR,0.191,22.82
GVKBPL,0.4599,11.34
GVPFS,0.1152,13.01
GVRHL,0.498,60.0
GVTRPL,0.3506,17.97
GVXPL,0.3515,23.64
GWKGHH,0.4017,9.77
GWRCS,0.4509,12.15
GWRTPL,0.4964,60.0
GWRVPL,0.4839,38.19
GYSIPL,0.4616,11.36
HAAIPL,0.4919,38.91
HAAULI,0.58,20.52
HAMC,0.0405,21.13
HANOVE,0.3104,17.66
HAPBC,0.2958,13.19
HAPPL,0.515,25.69
HASFPL,0.4011,10.12
HASMPL,0.4768,30.35
HATAGPL,0.4839,11.36
HAVERL,0.3586,23.63
HBCTP,0.3557,11.79
HCCS,0.3473,11.83
HCIRCPL,0.4122,15.53
HCNASPL,0.721,13.87
HDBFSLTD,0.4348,7.47
HDEGL,0.3554,11.61
HDPCO,0.6075,13.26
HDPSAL,0.4177,12.57
HDTITS,0.4321,13.07
HECB,0.5691,12.05
HECOLL,0.3208,26.44
HEHOFL,0.4784,10.34
HELSRI,0.0701,9.12
HEMMPL,0.4127,35.48
HENGTC,0.4297,13.56
HERHL,0.3667,13.44
HEROE,0.3836,11.11
HESOPR,0.4625,45.69
HEVLPL,0.4449,86.55
HEWEPL,0.3566,10.29
HFTRESPL,0.3305,11.63
HGICR,0.2534,12.3
HGRAVO,0.2641,10.82
HHFMPL,0.459,60.0
HIAPSL,0.8226,9.98
HIECCL,0.3525,12.36
HIFISP,0.3996,9.71
HIGEXI,0.5062,60.0
HIHEPI,0.5884,60.0
HIHIAS,0.3326,15.86
HIIMPL,0.3636,10.94
HIINRU,0.3482,12.95
HIMIL,0.4127,87.35
HIMSEID,0.5938,14.1
HINLEVE,0.3135,10.37
HINPETR,0.3825,10.76
HINPLTD,0.431,36.37
HINPPL,0.5487,10.79
HINRECT,0.2029,12.81
HINZINC,0.2167,10.72
HIPOLTD,0.5723,25.76
HIPPL,0.5566,12.78
HIREPL,0.3483,6.33
HIREPLTD,0.2274,9.99
HISPPL,0.3304,7.52
HITR,0.4651,11.11
HKRDL,0.3287,11.13
HLAPPL,0.3282,10.93
HLYFI,0.3509,10.94
HMCL,0.6033,86.69
HML,0.5032,60.0
HMRSPL,0.5991,85.21
HMTEPL,0.4516,15.36
HNBE,0.4432,13.91
HNEFPL,0.0401,12.74
HNEHPL,0.4046,9.95
HOFILL,0.3626,17.35
HOIL,0.45,10.96
HPFLTD,0.4181,11.18
HPGAPL,0.489,13.04
HPRARL,0.5132,15.14
HPYFGL,0.441,8.92
HRDVCL,0.3511,15.89
HRENERG,0.3775,14.07
HRETL,0.4959,12.52
HRIPL,0.4482,7.77
HRKBPL,0.5368,14.24
HRKSC,0.4782,33.0
HRMISL,0.4792,14.4
HRSCL,0.0706,11.15
HRSLEPL,0.3962,13.5
HRVAPL,0.3466,10.5
HRVOPL,0.2852,10.78
HSDPLTD,0.4771,36.37
HTAA,0.5961,24.62
HTECP,0.3837,60.0
HTEE,0.1783,16.5
HTGPPL,0.4516,60.0
HTIXL,0.4693,9.11
HTRTS,0.3436,11.24
HUGISCO,0.5446,12.04
HULCSPL,0.5015,27.98
HVLRTL,0.4346,14.19
HYFMPL,0.4864,23.99
HYSBLTD,0.4818,37.33
HYUMOTO,0.4365,12.64
IAMVPL,0.4129,23.85
IAURSL,0.0408,11.82
ICLCLI,0.4839,16.95
ICPL,0.4736,15.21
IDCSCO,0.4675,11.56
IDHFL,0.4117,24.01
IDIFHF,0.2181,12.25
IDLMPL,0.4701,13.74
IDMAAO,0.486,23.28
IDVL,0.2903,11.54
IFHOFL,0.45,13.37
IGAMPL,0.3496,24.22
IHLSPL,0.3744,13.77
IIBCPL,0.3875,84.21
IIFLCL,0.4647,12.93
IIHOLI,0.379,11.58
IIL,0.4686,8.12
IILPPL,0.0388,11.25
IJMCPL,0.4523,12.13
IKMISL,0.4016,13.49
ILFSETS,0.317,16.53
ILJEIL,0.375,9.89
ILPL,0.3693,11.36
IMCL,0.3856,37.86
IMFAL,0.453,60.0
IMHORCL,0.2399,10.7
INAGPL,0.5069,13.83
INALPL,0.2599,23.97
INBFPL,0.3542,11.81
INCPCL73,0.6488,60.0
INDBIC,0.4521,22.72
INDINFL,0.4983,16.07
INDOA,0.3429,11.56
INDOIL,0.5866,10.29
INFAFEC,0.3678,14.72
INFOENT,0.622,10.78
INGRTR,0.3642,10.75
INHFPL,0.183,10.58
INJAPL,0.4225,11.59
INLDPL,0.532,11.64
INLSCN,0.3675,26.7
INMOPI,0.4178,16.21
INMPLI,0.468,12.27
INOX,0.4215,12.48
INPLTD,0.348,14.98
INSELI,0.4084,23.9
INSPRI,0.5396,10.47
INTERL,0.3626,15.3
INVILI,0.4087,10.98
INXWD,0.4222,13.42
IOGAKC,0.5315,60.0
IOHOPL,0.5417,14.66
IOUTLI,0.0758,11.63
IOXWSL,0.2898,9.21
IPHLTD,0.4568,12.67
IPISPL,0.3242,10.88
IRBPVTBLD,0.3014,13.84
IRGEPL,0.2193,12.34
IRINTE,0.375,16.34
IRINTR,0.2939,12.39
ISASPL,0.3422,22.87
ISINPI,0.3945,60.0
ISPGAD,0.404,8.32
ISPPL,0.4142,15.77
ITCAGRO,0.5423,10.12
ITOF,0.2354,12.3
IVEIPL,0.3357,9.06
IVHIPL,0.3643,12.57
IVLINF,0.0378,24.81
IVTRVL,0.4829,30.11
IWDBSPL,0.5001,85.96
JACIPL,0.3305,11.67
JACOPL77,0.53,23.38
JACUPL,0.4038,12.5
JAGPPL,0.3201,12.51
JAGRPI,0.4069,12.53
JAIIRRI,0.4186,20.3
JAIPLD,0.4681,12.37
JAMMETA,0.485,11.62
JARRPL,0.4114,13.02
JASULI,0.4476,38.07
JAYCOR12,0.2148,23.0
JBCHEMI,0.579,14.42
JBECLJ,0.4679,36.66
JBETPL,0.3771,13.55
JBPUJI,0.2183,15.88
JBRGML,0.4959,39.96
JBSCPL,0.345,37.23
JCFPL,0.4701,17.1
JCIPLD,0.21,12.27
JCLJCL2,0.4483,62.65
JCPSPL,0.5119,37.05
JDFIPL,0.3406,8.85
JDLSLSB,0.3881,30.23
JDRM,0.3568,11.58
JEANCO,0.2747,16.83
JECOCO,0.5915,26.91
JEIPPL,0.3664,9.69
JELMSPL,0.2879,12.75
JETPOL,0.4698,9.52
JGCM,0.4474,8.2
JGKM,0.382,24.65
JGRTPL,0.3683,11.18
JHAPL,0.4149,18.59
JHNMPL,0.5713,12.65
JHWOM,0.5628,86.55
JIINRL,0.3854,13.69
JINDPIL,0.4534,9.0
JINDRIL,0.6778,10.28
JINPOLY,0.5887,16.21
JISKML,0.4926,26.35
JISUNI,0.4203,10.0
JJKKEC,0.4354,28.54
JKCORLT,0.3754,12.66
JKPLTD,0.4265,11.94
JKSINPL,0.4793,27.97
JKUULT,0.2931,60.0
JMAHPETPL,0.1724,12.54
JMALSPL,0.3119,17.71
JMAPPL,0.0379,10.13
JMDRCP,0.4493,24.37
JMSIPI,0.062,10.53
JNACPL,0.4041,17.46
JNKIDPL,0.3009,11.74
JNSIN,0.5532,26.94
JPENJP,0.4892,29.0
JPFIPL,0.5136,20.94
JPTL,0.3172,12.5
JRAPL,0.3189,86.88
JRBRI,0.4959,38.43
JRESPL,0.4799,60.0
JSCPLJ,0.4382,11.53
JSCPPL,0.3018,15.8
JSEMPL,0.3996,37.48
JSGRCS,0.4998,85.21
JSHNF,0.4936,86.37
JSWCM,0.4532,12.4
JSWSS,0.3542,12.05
JTCOPL,0.4762,12.62
JTIPL,0.3665,10.57
JTMTL,0.4714,20.21
JUAIPL,0.3899,23.62
JUCOPL,0.4395,11.98
JUGEPL,0.4135,9.5
JUSULI,0.7104,54.72
JWEPLJ,0.3154,18.88
JWIL,0.404,11.73
JYMBPL,0.0506,19.84
JYQUSU,0.5288,37.35
JYTSLIS,0.4233,23.05
KABEXTR,0.4183,12.01
KAESVS,0.3986,10.99
KAGBPL,0.4375,12.99
KAINIM,0.3456,12.37
KALCPL,0.4671,24.36
KALPOWE,0.3658,12.02
KALPPL,0.4843,18.51
KAPLLTD,0.3427,11.79
KAPOTF,0.4348,19.35
KARLFU,0.4072,22.91
KARPPL,0.5789,12.48
KASII,0.4712,16.17
KASMPI,0.3807,17.1
KASSL,0.4476,9.61
KATMOV,0.1376,12.09
KATOPI,0.2073,12.59
KBAGIK,0.4195,26.45
KBDCO,0.5031,39.76
KBIPVL,0.4973,11.72
KCNA,0.5204,19.69
KCPLITD,0.4194,10.85
KCRPT,0.4621,31.72
KCSTPL,0.4964,31.82
KCVIKC,0.4993,15.41
KCWEPL,0.1103,14.75
KCWSL,0.5126,85.21
KDETPL,0.59,13.95
KDISLC,0.4921,10.04
KDPIEPL,0.5522,11.26
KDPML,0.064,9.83
KEACPL,0.4629,6.93
KECHLI,0.7507,40.58
KEFIRL,0.5025,15.98
KEHRPL,0.631,34.07
KEICCL,0.498,39.09
KEOMPL,0.4346,60.0
KERCHEM,0.4109,8.71
KETTX,0.4959,9.56
KGITPL,0.2497,35.92
KGLD,0.5374,86.88
KGNELT,0.274,11.44
KHDILI,0.5486,18.57
KHELPL,0.4151,12.28
KHIITL,0.3642,10.1
KIANPP,0.3681,9.01
KIRBROT,0.179,11.55
KIRUFL,0.4044,10.98
KISWINDPVL,0.2665,12.05
KJBSMPL,0.4181,12.44
KJCGL,0.4546,11.31
KJLSPL,0.353,15.41
KJSCTL,0.5263,11.86
KJSRPL,0.3917,11.54
KKBP,0.7329,30.03
KKJW,0.4484,12.92
KKNCAL,0.0694,13.21
KKRIFSL,0.4529,11.83
KKVAPL,0.4106,35.31
KLDPIA,0.0861,18.1
KLGCC,0.2716,12.17
KLJRLTD,0.0597,13.8
KLNMGL,0.4686,38.5
KLPCPL,0.3804,12.93
KLPOPL,0.3035,60.0
KLTR,0.3997,14.51
KMCH,0.2948,11.3
KMCRE,0.446,11.8
KMEWPL,0.4365,18.89
KMMISPL,0.4635,15.61
KMOPL,0.4564,17.15
KMRIPL,0.0662,10.58
KMSPL,0.367,12.97
KNCVL,0.3051,16.79
KNDENGI,0.495,85.21
KNKNC,0.4484,85.96
KNKSMGT,0.3889,13.19
KNMALL,0.3591,10.4
KNMNS,0.4469,26.88
KNSYS,0.4945,86.37
KNTCSPL,0.3676,26.51
KNTG,0.3706,24.35
KOEPL,0.3047,21.9
KOINFL,0.3676,45.75
KOPRL,0.3991,22.72
KOTMAHP,0.4321,15.85
KPBIPI,0.3646,28.22
KPDL,0.4863,10.71
KPIAPL,0.0491,17.17
KPIVTP,0.4943,60.0
KRABPI,0.3161,10.45
KRAN,0.564,43.68
KRBSML,0.4585,11.37
KRCOGL,0.4486,11.92
KRGEPI,0.3951,10.88
KRGRPL33,0.4304,20.5
KRIMSL,0.2882,10.6
KRISBHA,0.5556,60.0
KRJEPL,0.0563,18.38
KRPEPR,0.4924,28.89
KRSF,0.3691,9.46
KRSNEIL,0.5478,15.84
KSBDCPL,0.5139,23.46
KSCML,0.925,22.83
KSCPL,0.5044,85.77
KSFIDP,0.438,10.56
KSIIPL,0.1907,87.22
KSMBMS,0.2994,12.53
KSOIDPL,0.466,8.7
KSUGR,0.6006,60.0
KTIPL,0.4943,60.0
KTKRD,0.6649,13.02
KTLLM,0.3984,38.11
KTPML,0.3389,15.03
KTXISPL,0.8072,39.01
KUCT,0.3972,15.47
KUMBSSK,0.2803,41.48
KUMCPL,0.4403,9.46
KUSAPL,0.3717,12.03
KVCHPL,0.1865,12.15
KVTMET,0.4091,39.25
KVYDMSLD,0.4056,87.04
KYBRI,0.484,26.95
KYJWPL,0.4852,11.17
LAAGPR,0.4366,13.33
LABOPAM,0.557,16.15
LACTOSE,0.3642,16.78
LAFARGE,0.4145,11.65
LALAN,0.2222,22.37
LALCC,0.4392,13.06
LAXCON,0.3984,10.51
LBST,0.4304,11.54
LCAGPL,0.5063,13.68
LETGRA,0.4847,24.72
LEZOGL,0.3061,37.65
LGCDRY,0.4873,24.14
LGELINL,0.6081,8.48
LGFTL,0.3897,10.49
LGMAC,0.3369,9.06
LGNIPL,0.334,13.05
LHPAMPL,0.2086,28.51
LICHOUS,0.5246,0.0
LIMEIN,0.3436,10.3
LIMIPL,0.3458,12.79
LINCOLN,0.4193,8.53
LINPEPL,0.3063,25.0
LIPDPL,0.3615,9.96
LIPOPL,0.2205,10.9
LIVPLL,0.4316,10.24
LKGKL,0.5156,60.0
LLFIPL,0.4949,37.72
LLOSTEE,0.4045,11.25
LMETL,0.4051,20.54
LMLSPLTD,0.3838,21.01
LMSRMLS,0.592,24.67
LMTHL,0.421,18.97
LNEMLPL,0.0576,22.24
LNSNML,0.5356,38.62
LOAMPL,0.4972,10.37
LOCVPL,0.4714,17.87
LOHSTAR,0.3358,9.95
LOIL,0.6441,13.86
LPCLT,0.5107,85.53
LSAFPL,0.3538,22.62
LSINDPL,0.1222,14.51
LTBTF,0.4785,38.79
LTFNCH,0.4367,15.02
LTMB,0.3386,11.46
LTPGCL,0.3816,12.42
LTSBSDS,0.4157,26.74
LTTG,0.3273,10.97
LUCAIND,0.4097,10.94
LUCATVS,0.3638,8.4
LUDSRM,0.4032,16.82
LVEDS,0.418,10.61
LXYEYPL,0.3551,11.04
LYRYPL,0.5103,39.11
MAASLI,0.5597,20.81
MAASMPL,0.4424,11.37
MABHPL,0.4148,9.8
MACAIN,0.5378,23.79
MACAML,0.3166,16.93
MADBPL27,0.3615,17.75
MADRORL,0.5888,60.0
MAECEN,0.4776,31.73
MAEDOC,0.5249,12.92
MAEDOM,0.5084,13.07
MAFCL,0.457,28.07
MAFOPM,0.4502,25.31
MAFSIPL,0.4131,10.14
MAGEPL,0.0618,10.93
MAGIPL,0.4019,35.43
MAGLEAS,0.3336,10.81
MAGWIPL,0.4358,29.59
MAHMAH,0.3336,14.03
MAHMPL,0.4904,45.26
MAHSPIN,0.4798,10.9
MAID,0.401,12.74
MAINPR,0.4532,20.96
MALDRGPHR,0.4792,9.31
MALTD,0.4771,12.26
MANENT95,0.4685,12.06
MANLEAF,0.5463,12.21
MANREFI,0.5175,13.45
MANUGRA,0.5635,60.0
MASCSL,0.4145,9.86
MASPFL,0.4023,12.82
MASUEL,0.3857,30.06
MATESH,0.4803,15.96
MATROR,0.3998,15.14
MATYPL,0.4122,10.96
MAUDYOG,0.3504,10.55
MAXMCL,0.4595,22.05
MBFSELTD,0.5146,12.24
MBLBF,0.5977,23.07
MBPMPL,0.2904,12.06
MCAPLD,0.4726,35.65
MCCPL,0.5429,11.26
MCCPTAICPL,0.4218,12.0
MCHEG,0.2721,9.63
MCHFCLD,0.3379,9.84
MCIBPL,0.57,12.14
MCNSE,0.3382,16.07
MCSIPL,0.3497,23.49
MCSPL,0.5113,19.31
MCYCRR,0.3297,11.67
MDIDCS,0.474,23.87
MDIHSPL,0.2812,10.52
MDLHPL,0.446,36.52
MDLPRL,0.0396,24.76
MDOCTC,0.481,24.62
MDPCLTD,0.632,18.0
MDPLTD,0.4953,25.67
MDTPGG,0.3739,18.0
MEBOPEL,0.4976,17.94
MECOCK,0.4656,28.57
MECPRL,0.615,13.72
MEEJEW,0.5642,25.66
MEHELT,0.3565,12.89
MEILTD,0.3597,10.63
MEIP,0.3951,12.87
MEIPPL,0.458,15.56
MEL,0.3963,10.76
MENCR,0.4014,17.59
MEPHDRH,0.4773,22.23
MEPHPR,0.2808,11.67
METIL,0.4365,87.36
MFCE,0.0653,12.37
MFPPL,0.2854,11.61
MFSVPL,0.2188,13.63
MGAIPL,0.4256,12.4
MGGSPL,0.3771,87.25
MGJPL,0.4824,86.62
MGMQC,0.4802,45.24
MGMTCL,0.4247,19.26
MGNMC,0.5034,23.37
MGPRPL,0.2754,11.66
MGRJINL,0.4722,16.14
MHBULL,0.32,14.85
MHEEPL,0.3288,10.86
MHLKS,0.4882,21.67
MHLMAL,0.4631,27.01
MHMAOT,0.5441,23.74
MHMDE,0.4393,34.61
MHNTCL,0.3096,23.31
MHPVPL,0.0774,10.52
MHRL,0.3439,14.15
MHTBL,0.1919,13.04
MHTR,0.1921,13.01
MHWB,0.4626,46.38
MIAEGPL,0.3893,11.57
MIDELI27,0.4598,25.29
MIEDPL24,0.4586,23.75
MILPPL,0.0501,10.82
MILTRU,0.3964,11.5
MIOTH,0.5765,25.06
MIPTBPL,0.0395,10.83
MISDHNIGLTD,0.2959,11.02
MIVIPL70,0.2097,21.18
MJSDB,0.4787,41.38
MJSELTD,0.4219,9.95
MKABPL,0.3912,30.18
MKAGFL,0.4693,16.99
MKBDDS,0.5502,21.91
MKCP,0.4927,22.82
MKRLSL,0.4187,20.4
MKTAPL,0.079,9.87
MKTEPL,0.3906,23.4
MLABL,0.5148,10.62
MLLTD,0.5114,16.31
MLMSCS,0.3782,11.5
MLRIPL,0.4088,11.25
MLSBCL,0.2973,12.05
MMDFPL,0.4477,13.32
MMISP,0.5462,12.15
MMMYPL,0.4564,23.26
MNHSPT,0.4345,17.95
MNMOPL,0.3723,24.08
MNTCPL,0.3501,10.54
MNUHEF,0.3616,10.1
MNYP,0.4475,13.34
MOFOPL0,0.5963,23.38
MOMIPL,0.3473,12.42
MOSWIL,0.344,9.54
MOWDPL,0.4046,16.2
MPENTPL,0.3846,11.35
MPJLSCO,0.0373,11.99
MPKHT,0.4456,15.11
MPMAPL,0.4531,12.39
MQUI,0.5177,21.23
MRCEPL,0.4653,27.11
MRCLBL,0.7744,17.13
MREML,0.4355,20.3
MRENCM,0.4312,11.44
MRHFL,0.4876,9.5
MRKHC,0.487,20.83
MRRUPL,0.3958,12.13
MRTPG,0.4784,20.52
MRTSP,0.4843,23.07
MSBSLTD,0.5316,12.07
MSCL,0.6235,13.62
MSDPJL,0.364,38.63
MSECF,0.3616,14.48
MSEHPL,0.3983,32.21
MSEZL,0.3634,13.78
MSFAPL,0.4942,20.53
MSFL,0.4933,12.36
MSIPLTD,0.4338,28.37
MSJPL,0.7725,12.14
MSLAPL,0.4469,26.72
MSNSSL,0.2134,12.24
MSPS,0.1712,25.89
MSRCOM,0.4914,27.82
MSSPAD,0.5464,23.48
MSTRC,0.4408,11.36
MTBCN,0.3398,12.37
MTDCSPL,0.4923,12.83
MTETBSL,0.465,12.16
MTHFCL,0.3794,11.53
MTIL,0.4001,23.58
MTLAT,0.3857,9.8
MTRCL,0.5124,11.33
MTWHL,0.5061,9.11
MUFILT,0.4301,11.99
MUHOIL,0.397,9.64
MUINPL93,0.4228,16.24
MUKAND,0.407,15.59
MUMILI,0.2511,14.77
MUMOPL,0.4279,11.26
MUNFORG,0.4554,86.37
MUNSHOW,0.4922,10.69
MUSEPL,0.5853,20.78
MUSTPL,0.3277,30.44
MUTCAPI,0.5016,11.85
MUTSPL,0.4575,11.29
MYFHRS,0.4497,60.0
MYHIPL,0.3129,11.56
MYRIDPL,0.4702,41.55
NABAPL,0.3199,12.26
NABARDE,0.437,11.1
NACHKP,0.4862,20.5
NACSPE,0.5209,9.55
NADBEL,0.2759,27.99
NAHSPIN,0.4327,11.05
NAINPI,0.4222,29.62
NAIRIP,0.076,22.52
NARMC,0.498,60.0
NARSI,0.3631,10.82
NASOEL,0.0393,22.96
NATBCCL,0.4052,11.11
NATSTCLCL,0.4477,16.11
NBAPLT,0.4072,13.06
NCCUIL,0.4762,27.05
NDDDPP,0.4157,12.7
NDRINK,0.527,11.63
NEETHL,0.3691,11.37
NEHTCP,0.3993,12.5
NELC,0.3474,11.9
NENEPL,0.2566,8.33
NESMLM,0.4079,9.27
NEWHPL,0.4237,26.29
NEXMAR,0.4481,44.29
NEYLIGN,0.3325,10.91
NEZIPL,0.4807,12.73
NFANPL,0.4667,26.93
NFPIL,0.5415,60.0
NGALANGDHR,0.4979,60.0
NHHFAD,0.3779,17.23
NHL,0.5124,33.88
NHOBANK,0.4698,14.08
NHRSRL,0.3699,12.93
NIAAPL,0.8537,15.92
NICSTPL,0.4063,37.62
NIIPL,0.3126,12.79
NIITTL,0.3701,11.13
NIKCON,0.491,12.61
NILINF,0.4972,36.71
NILNE,0.3937,42.49
NIRBGSEC,0.3188,13.13
NIRLON,0.3422,10.38
NIRMA,0.4203,12.25
NISEPL,0.4333,10.94
NJCAPL,0.3522,9.21
NKPIL,0.4587,68.09
NKPRIPL,0.3835,30.59
NKSEPL,0.4687,13.14
NKTPSL,0.4631,26.64
NMDSG,0.4952,12.46
NMFNPL,0.2593,12.8
NMIAPL,0.3741,12.63
NMSP,0.3011,20.71
NMSTLI,0.4808,16.07
NMTM,0.4018,23.46
NNIP,0.498,7.96
NOCIL,0.626,10.11
NOFEPL,0.5014,24.56
NOGRPL,0.3691,13.47
NOMLSL,0.3566,17.49
NOTPPL,0.4528,9.18
NRACO,0.5371,18.44
NROLGS,0.3437,13.8
NRPSPL,0.4915,60.0
NSACTL,0.4702,10.54
NSFL,0.4133,11.36
NSLRNPL,0.4934,19.42
NSLWPCL,0.5227,18.04
NSNS,0.3103,22.1
NSPPLD,0.3613,60.0
NSPRPL,0.5386,15.29
NTHMSPL,0.4563,84.21
NTKFIL,0.4843,22.58
NTNVI,0.2585,13.98
NTPCLTD,0.4338,10.55
NTTCH,0.4867,15.55
NUBGEL,0.3496,13.28
NUMREFNLD,0.328,10.49
NUPOCOR,0.4706,11.97
NVDCCO,0.4839,23.35
NVJM,0.4325,35.31
NWKRTC,0.5654,41.36
NWPCKPL,0.5098,19.35
NWPCSP,0.3954,19.4
NXTTRU,0.4495,12.45
OAPRLI,0.4568,13.09
OCLISLTD,0.3857,11.27
OCTIPL,0.3354,28.86
OEHTPL,0.4668,86.96
OIINLTJ,0.4367,10.29
OLIIL,0.4397,11.75
OMAHT,0.3871,10.7
OMSREP,0.4678,21.92
OMYPPL,0.3311,14.41
ONBRPL,0.4584,10.56
OORJITA,0.4955,23.37
OPAPPI,0.3764,12.63
OPERTP,0.445,13.49
OPGCPL,0.4621,26.35
ORASPL,0.4859,10.04
ORATPL,0.418,35.41
ORCENL,0.4794,60.0
ORIINF,0.4316,14.32
ORMELL,0.3134,34.4
ORMIPI,0.4547,9.33
ORPPAL,0.3206,9.98
ORPRLI,0.3799,8.46
OSILTD,0.4676,13.68
OSLAML,0.3479,35.69
OSRPSPL,0.5529,21.81
OSTPPL,0.0707,16.91
OTPOW,0.4801,11.44
OWPPLTD,0.4123,14.66
OXFSPL,0.3423,11.97
OYEXPL,0.4934,15.09
PAALL,0.5105,60.0
PABPPL,0.4717,60.0
PAHTPL,0.2789,8.63
PANEPL,0.377,12.39
PANSYN,0.4425,37.8
PAPODL,0.3938,12.03
PAPSLE,0.3107,9.14
PARAEN,0.4039,85.77
PARCOMN,0.4542,26.69
