companyCode,companyName,total_facilities,cumulative,cum_pct
TOGAPL,Torrent Gas Limited,6700.0,2393021.84,63.22019064641958
TRLILI,Transrail Lighting Limited,6470.000000000001,2399491.84,63.39111872849773
NBAPLT,Nabha Power Limited,6425.0,2405916.84,63.56085797538369
SVXCMPS,Savex Technologies Private Limited,6400.0,2412316.84,63.729936758273986
RKMPG,R.K.M Powergen Private Limited,6392.009999999999,2418708.8499999996,63.89880445687125
IRINTR,IRB Infrastructure Trust,6390.0,2425098.8499999996,64.06761905416329
GDS1853,Dalmia Cement (Bharat) Limited,6348.000000000001,2431446.8499999996,64.23532407194259
GDS1564,Ashoka Buildcon Limited,6306.0,2437752.8499999996,64.40191951020917
WGSR,Welspun Corp Limited,6229.0,2443981.8499999996,64.56648071936911
ADTRLI,Adani Energy Solutions Limited,6000.0,2449981.8499999996,64.72499207832877
HINLEVE,Hindustan Unilever Limited,6000.0,2455981.8499999996,64.88350343728841
GDS10853,Lodha Developers Limited,5900.0,2461881.8499999996,65.03937294026541
DBPWR,DB Power Limited,5825.0,2467706.8499999996,65.19326105125539
JSWCM,JSW Cement Limited,5800.0,2473506.8499999996,65.34648869824971
STROPTECL,Sterlite Technologies Limited,5767.0,2479273.8499999996,65.49884453276977
IRGEPL,IRB Golconda Expressway Private Limited,5623.0,2484896.8499999996,65.64739609467478
TOINTR,Altius Telecom Infrastructure Trust,5600.0,2490496.8499999996,65.79534002970378
THERMAX,Thermax Limited,5500.0,2495996.8499999996,65.94064210875014
TPSOLI,TP Solar Limited,5500.0,2501496.8499999996,66.08594418779647
SVMOPL,Svatantra Microfin Private Limited,5500.0,2506996.8499999996,66.23124626684283
MAHSPIN,Vardhman Textiles Limited,5416.23,2512413.0799999996,66.3743352631325
UTCL,UltraTech Cement Limited,5400.0,2517813.0799999996,66.51699548619618
SHSL,Shyam Sel and Power Limited,5353.0,2523166.0799999996,66.65841403694802
CTNIFC,Chaitanya India Fin Credit Private Limited,5200.000000000001,2528366.0799999996,66.79579054804637
HUGISCO,Tata Teleservices (Maharashtra) Limited,5166.0,2533532.0799999996,66.93226882811062
MBPMPL,MB Power (Madhya Pradesh) Limited,5145.7300000000005,2538677.8099999996,67.0682116039672
ECLFL,ECL Finance Limited,5145.0,2543822.8099999996,67.2041350942751
INGRTR,Indigrid Infrastructure Trust,5120.0,2548942.8099999996,67.33939812058732
ARFILI,ARKA Fincap Limited,5000.0,2553942.8099999996,67.47149091972037
GUJAMCE,Ambuja Cements Limited,5000.0,2558942.8099999996,67.60358371885341
GDS6229,Genus Power Infrastructures Limited,4927.0,2563869.8099999996,67.7337479631191
NUPOCOR,Nuclear Power Corporation of India Limited,4869.0,2568738.8099999996,67.86237993091487
GINWE,Sembcorp Green Infra Private Limited,4811.0,2573549.8099999996,67.98947962224067
CAHEALT,Zydus Lifesciences Limited,4724.0,2578273.8099999996,68.11428089886157
ADNGS,Adani Total Gas Limited,4650.0,2582923.8099999996,68.23712720205529
TELCO,Tata Motors Passenger Vehicles Limited,4600.0,2587523.8099999996,68.3586525772577
BENCOLE,Bennett Coleman and Company Limited,4600.0,2592123.8099999996,68.48017795246008
GDS22573,Uflex Limited,4599.999999999999,2596723.8099999996,68.60170332766249
ORIINF,Oriental Infratrust,4548.3,2601272.1099999994,68.72186286332183
NMSTLI,NMDC Steel Limited,4500.0,2605772.1099999994,68.84074638254157
SHRCEME,Shree Cement Limited,4500.0,2610272.1099999994,68.9596299017613
ABL,Angel One Limited,4500.0,2614772.1099999994,69.07851342098105
LAFARGE,Nuvoco Vistas Corporation Limited,4400.0,2619172.1099999994,69.19475508421812
GDS20271,Skipper Limited,4301.000000000001,2623473.1099999994,69.30838131003236
JKCORLT,JK Lakshmi Cement Limited,4260.4800000000005,2627733.5899999994,69.42093705580244
TECSL,Tecpro Systems Limited,4250.0,2631983.5899999994,69.53321593506551
